name,englishName,category,calories,protein,fat,carbs,servingSizeValue,servingUnit,source,partialNutrition
Refried Beans (1/2 cup),Refried Beans,Carbs,115,7,1,19,1,piece,local_csv,false
Guacamole (1/4 cup),Guacamole,Vegetable,90,1,8,4,1,piece,local_csv,false
Watermelon (1 cup diced),Watermelon,Fruit,46,0.9,0.2,11.5,1,cup,local_csv,false
English Muffin (whole wheat),English Muffin,Carbs,134,6,1,26,1,piece,local_csv,false
Peanut Butter & Jelly Sandwich,Peanut Butter & Jelly Sandwich,FastFood,390,12,17,50,100,g,local_csv,false
Clam Chowder (1 cup),Clam Chowder,Seafood,200,10,9,18,1,cup,local_csv,false
Iced Tea (Sweetened 16oz),Iced Tea,Drink,180,0,0,46,453.59,g,local_csv,false
Lasagna (1 serving meat),Lasagna,Carbs,350,20,17,30,1,piece,local_csv,false
Garlic Bread (1 slice),Garlic Bread,Carbs,150,4,7,18,1,piece,local_csv,false
Chocolate Milk (1 cup),Chocolate Milk,Drink,200,8,8,26,1,cup,local_csv,false
White Bread (1 slice),White Bread,Carbs,70,2,1,13,1,piece,local_csv,false
Jelly (1 tbsp grape),Jelly,Other,50,0,0,13,15,ml,local_csv,false
Veggie Burger (1 patty),Veggie Burger,Protein,120,11,4,10,1,piece,local_csv,false
Bun (hamburger),Bun,Carbs,140,4,2,26,1,piece,local_csv,false
Ketchup (1 tbsp),Ketchup,Other,20,0.2,0.1,5,15,ml,local_csv,false
Muffin (Blueberry 1 large),Muffin,Dessert,380,5,16,55,1,piece,local_csv,false
Coffee (with cream/sugar),Coffee,Drink,50,0.5,3,5,1,piece,local_csv,false
Potato Chips (1 oz),Potato Chips,Snack,160,2,10,15,28.35,g,local_csv,false
Tzatziki Sauce (2 tbsp),Tzatziki Sauce,Dairy,30,1.5,2,2,30,ml,local_csv,false
Scallops (3oz seared),Scallops,Seafood,95,17,1,5,85.05,g,local_csv,false
Risotto (Mushroom 1 cup),Risotto,Carbs,250,7,9,35,1,cup,local_csv,false
Caprese Salad,Caprese Salad,Vegetable,240,10,18,8,100,g,local_csv,false
Balsamic Vinaigrette (2 tbsp),Balsamic Vinaigrette,Other,90,0,9,3,30,ml,local_csv,false
Cherries (1 cup),Cherries,Fruit,77,1.6,0.5,19,1,cup,local_csv,false
Turkey Bacon (2 slices),Turkey Bacon,Protein,70,6,5,1,2,piece,local_csv,false
Grits (1 cup cooked),Grits,Carbs,150,3,1,32,1,cup,local_csv,false
Butter (1 tbsp),Butter,Dairy,100,0.1,11,0,15,ml,local_csv,false
Meatball Sub (6 inch),Meatball Sub,FastFood,580,28,27,55,6,piece,local_csv,false
Kiwifruit (1 medium),Kiwifruit,Fruit,46,0.9,0.4,11.1,1,piece,local_csv,false
Beef Jerky (1 oz),Beef Jerky,Snack,116,9.4,7.2,3.1,28.35,g,local_csv,false
Figs (2 medium),Figs,Fruit,74,0.6,0.3,19.2,2,piece,local_csv,false
Lobster (3oz steamed),Lobster,Seafood,76,16,0.7,0,85.05,g,local_csv,false
Melted Butter (for lobster),Melted Butter,Other,200,0.2,22,0,1,piece,local_csv,false
Corn on the Cob (1 large),Corn on the Cob,Vegetable,125,5,1.5,29,1,piece,local_csv,false
Vegetable Soup (1 can),Vegetable Soup,Vegetable,140,4,4,22,1,piece,local_csv,false
Saltine Crackers (5 crackers),Saltine Crackers,Carbs,60,1,1.5,10,5,piece,local_csv,false
Mango (1 cup slices),Mango,Fruit,99,1.4,0.6,24.7,1,cup,local_csv,false
Cheesecake (1 slice),Cheesecake,Dessert,320,5,21,28,1,piece,local_csv,false
Pad Thai (Chicken 1.5 cups),Pad Thai,Carbs,550,25,22,60,1.5,cup,local_csv,false
Spring Roll (Veg 2 rolls),Spring Roll,Snack,180,4,7,25,2,piece,local_csv,false
Coconut Water (1 cup),Coconut Water,Drink,46,1.7,0.5,8.9,1,cup,local_csv,false
Kimchi (1/2 cup),Kimchi,Vegetable,22,1.7,0.4,4,1,piece,local_csv,false
Sashimi (Salmon 3 pcs),Sashimi,Seafood,120,18,5,0,3,piece,local_csv,false
Wasabi (1 tsp),Wasabi,Other,10,0.1,0.1,2.2,5,ml,local_csv,false
Seaweed Salad (1/2 cup),Seaweed Salad,Vegetable,60,2,3,8,1,piece,local_csv,false
French Onion Soup (1 cup),French Onion Soup,FastFood,150,6,7,15,1,cup,local_csv,false
Croutons (1/4 cup),Croutons,Carbs,50,1.5,2,7,1,piece,local_csv,false
Shepherd's Pie (1 serving),Shepherd's Pie,FastFood,400,20,20,35,1,piece,local_csv,false
Green Peas (1/2 cup),Green Peas,Carbs,62,4.1,0.2,11.1,1,piece,local_csv,false
Apple Pie (1 slice),Apple Pie,Dessert,410,3,19,58,1,piece,local_csv,false
Gin & Tonic (1 drink),Gin & Tonic,Drink,170,0,0,13,1,piece,local_csv,false
Red Wine (5 oz glass),Red Wine,Drink,125,0.1,0,3.8,141.75,g,local_csv,false
Halibut (4oz baked),Halibut,Seafood,125,24,2.5,0,113.4,g,local_csv,false
Quinoa Salad (1 cup),Quinoa Salad,Other,260,9,12,32,1,cup,local_csv,false
Lemonade (1 cup),Lemonade,Drink,99,0.1,0,26,1,cup,local_csv,false
Pistachios (1 oz shelled),Pistachios,Snack,159,5.7,12.8,7.7,28.35,g,local_csv,false
Oat Milk (1 cup),Oat Milk,Drink,120,3,5,16,1,cup,local_csv,false
Biscuits and Gravy (1 serving),Biscuits and Gravy,FastFood,480,10,28,45,1,piece,local_csv,false
Avocado (1/2 fruit),Avocado,Fruit,160,2,14.7,8.5,1,piece,local_csv,false
Corn Flakes (1 cup),Corn Flakes,Carbs,100,2,0,24,1,cup,local_csv,false
T-Bone Steak (6oz),T-Bone Steak,Protein,460,38,33,0,170.1,g,local_csv,false
Creamed Spinach (1/2 cup),Creamed Spinach,Vegetable,190,5,16,8,1,piece,local_csv,false
Pecans (1 oz),Pecans,Snack,196,2.6,20.4,3.9,28.35,g,local_csv,false
Fruit Cocktail (canned 1 cup),Fruit Cocktail,Fruit,110,1,0,28,1,cup,local_csv,false
Ramen (Instant 1 pack),Ramen,FastFood,380,9,14,53,1,piece,local_csv,false
Mocha Latte (16oz),Mocha Latte,Drink,360,12,15,48,453.59,g,local_csv,false
Cucumber Slices (1 cup),Cucumber Slices,Vegetable,16,0.7,0.1,3.6,1,cup,local_csv,false
Feta Cheese (1 oz),Feta Cheese,Dairy,75,4,6.1,1.2,28.35,g,local_csv,false
Olives (Kalamata 5 large),Olives,Fruit,35,0.2,3.5,1,5,piece,local_csv,false
Chicken Alfredo (1.5 cups),Chicken Alfredo,Carbs,680,35,38,45,1.5,cup,local_csv,false
Breadstick (1 large),Breadstick,Carbs,160,4,3,28,1,piece,local_csv,false
Cobb Salad,Cobb Salad,Protein,510,30,38,12,100,g,local_csv,false
Blue Cheese Dressing (2 tbsp),Blue Cheese Dressing,Other,150,1,16,2,30,ml,local_csv,false
Mandarin Orange (1 medium),Mandarin Orange,Fruit,37,0.6,0.2,9.3,1,piece,local_csv,false
Cashews (1 oz roasted),Cashews,Snack,163,4.3,13.1,9.2,28.35,g,local_csv,false
Eggo Waffle (2 waffles),Eggo Waffle,Carbs,180,4,5,30,2,piece,local_csv,false
Pulled Pork Sandwich,Pulled Pork Sandwich,FastFood,480,25,20,48,100,g,local_csv,false
Macadamia Nuts (1 oz),Macadamia Nuts,Snack,204,2.2,21.5,3.9,28.35,g,local_csv,false
Crab Cakes (2 medium),Crab Cakes,Seafood,340,20,20,18,2,piece,local_csv,false
Tartar Sauce (2 tbsp),Tartar Sauce,Other,60,0.2,5.5,2,30,ml,local_csv,false
Lemon Bar (1 square),Lemon Bar,Dessert,150,1.5,6,22,1,piece,local_csv,false
Almond Milk (Unsweetened 1 cup),Almond Milk,Drink,30,1,2.5,1,1,cup,local_csv,false
Rice Krispies (1.5 cups),Rice Krispies,Carbs,160,3,0.5,37,1.5,cup,local_csv,false
Sugar (1 tsp for cereal),Sugar,Other,16,0,0,4,5,ml,local_csv,false
Tuna (Canned 3oz in water),Tuna,Seafood,90,20,1,0,85.05,g,local_csv,false
Mayonnaise (1 tbsp),Mayonnaise,Other,90,0.1,10,0.1,15,ml,local_csv,false
Pickle (1 spear dill),Pickle,Vegetable,5,0.2,0.1,1,1,piece,local_csv,false
Lobster Bisque (1 cup),Lobster Bisque,Seafood,250,8,18,12,1,cup,local_csv,false
Reuben Sandwich,Reuben Sandwich,FastFood,650,28,40,35,100,g,local_csv,false
Sauerkraut (1/4 cup side),Sauerkraut,Vegetable,7,0.3,0,1.5,1,piece,local_csv,false
Mushroom (White 1 cup sliced),Mushroom,Vegetable,15,2.2,0.2,2.3,1,cup,local_csv,false
Soy Milk (Original 1 cup),Soy Milk,Drink,110,8,4.5,9,1,cup,local_csv,false
Chicken Tikka Masala (1.5 cups),Chicken Tikka Masala,FastFood,480,30,30,20,1.5,cup,local_csv,false
Naan Bread (1 piece),Naan Bread,Carbs,260,8,5,45,1,piece,local_csv,false
Cucumber Salad (1/2 cup),Cucumber Salad,Vegetable,40,1,2,5,1,piece,local_csv,false
Vodka Soda (1 drink),Vodka Soda,Drink,100,0,0,0,1,piece,local_csv,false
Chocolate Croissant,Chocolate Croissant,Dessert,350,6,19,40,100,g,local_csv,false
Sweet & Sour Chicken (1 cup),Sweet & Sour Chicken,FastFood,380,18,15,45,1,cup,local_csv,false
Egg Drop Soup (1 cup),Egg Drop Soup,Vegetable,65,5,2,6,1,cup,local_csv,false
String Cheese (1 stick),String Cheese,Dairy,80,6,6,1,1,piece,local_csv,false
Turkey Burger (1 patty),Turkey Burger,Protein,160,22,8,2,1,piece,local_csv,false
"Mustard (1 tbsp, yellow)",Mustard,Other,10,0.5,0.5,1,15,ml,local_csv,false
Potato Salad (1/2 cup),Potato Salad,Vegetable,180,2,11,19,1,piece,local_csv,false
Cranberry Juice (1 cup),Cranberry Juice,Drink,130,0,0,33,1,cup,local_csv,false
"Spinach (1 cup, raw)",Spinach,Vegetable,7,0.9,0.1,1.1,1,cup,local_csv,false
Chicken Piccata (1 serving),Chicken Piccata,FastFood,350,30,20,10,1,piece,local_csv,false
Angel Hair Pasta (1 cup),Angel Hair Pasta,Carbs,200,7,1,42,1,cup,local_csv,false
Olive Oil (1 tbsp),Olive Oil,Other,120,0,14,0,15,ml,local_csv,false
Garlic (1 clove),Garlic,Vegetable,4,0.2,0,0.9,1,piece,local_csv,false
Salami (3 slices),Salami,Protein,110,6,9,1,3,piece,local_csv,false
Provolone Cheese (1 slice),Provolone Cheese,Dairy,100,7,8,1,1,piece,local_csv,false
Ginger Ale (1 can),Ginger Ale,Drink,124,0,0,32,1,piece,local_csv,false
Shrimp Scampi (1 cup),Shrimp Scampi,Seafood,380,22,15,40,1,cup,local_csv,false
Tiramisu (1 slice),Tiramisu,Dessert,450,7,28,42,1,piece,local_csv,false
Cereal Bar (Fruit),Cereal Bar,Snack,140,2,3,30,1,piece,local_csv,false
Veal Parmesan (1 serving),Veal Parmesan,FastFood,550,40,30,30,1,piece,local_csv,false
Spaghetti (side),Spaghetti,Carbs,100,3.5,0.5,21,1,piece,local_csv,false
Hot Chocolate (1 cup),Hot Chocolate,Drink,200,3,8,30,1,cup,local_csv,false
Coconut Shrimp (5 pcs),Coconut Shrimp,Seafood,320,10,20,25,5,piece,local_csv,false
Sweet Chili Sauce (2 tbsp),Sweet Chili Sauce,Other,70,0,0,17,30,ml,local_csv,false
White Wine (5 oz glass),White Wine,Drink,121,0.1,0,3.8,141.75,g,local_csv,false
Trail Mix (1/4 cup),Trail Mix,Snack,190,5,12,20,1,piece,local_csv,false
Onion Rings (6 rings),Onion Rings,Snack,280,4,16,30,6,piece,local_csv,false
Poached Egg (1 large),Poached Egg,Protein,72,6.3,4.8,0.4,1,piece,local_csv,false
Canadian Bacon (2 slices),Canadian Bacon,Protein,80,12,3,1,2,piece,local_csv,false
Eggs Benedict (1 serving),Eggs Benedict,Protein,600,25,40,30,1,piece,local_csv,false
Hollandaise Sauce (2 tbsp),Hollandaise Sauce,Other,110,1,12,0.5,30,ml,local_csv,false
Spinach Artichoke Dip (1/4 cup),Spinach Artichoke Dip,Snack,160,5,14,6,1,piece,local_csv,false
Tortilla Chips (1 oz),Tortilla Chips,Snack,140,2,7,19,28.35,g,local_csv,false
Chicken Kebab (2 skewers),Chicken Kebab,FastFood,280,30,14,8,2,piece,local_csv,false
Bell Peppers & Onions (sautéed),Bell Peppers & Onions,Vegetable,60,1.5,2,10,1,piece,local_csv,false
Hummus Wrap (large),Hummus Wrap,Other,450,15,18,60,1,piece,local_csv,false
Kombucha (1 cup),Kombucha,Drink,30,0,0,7,1,cup,local_csv,false
Beef Stroganoff (1.5 cups),Beef Stroganoff,Carbs,550,30,28,40,1.5,cup,local_csv,false
Egg Noodles (1 cup cooked),Egg Noodles,Carbs,220,8,3,40,1,cup,local_csv,false
Cottage Cheese (1 cup low fat),Cottage Cheese,Dairy,160,28,2.5,6,1,cup,local_csv,false
Tomato (1 medium sliced),Tomato,Vegetable,22,1.1,0.2,4.8,1,piece,local_csv,false
Black Pepper (1 tsp),Black Pepper,Other,6,0.2,0.1,1.5,5,ml,local_csv,false
Chocolate Pudding (1/2 cup),Chocolate Pudding,Dessert,150,2,4,28,1,piece,local_csv,false
Mackerel (3oz cooked),Mackerel,Seafood,175,16,12,0,85.05,g,local_csv,false
Collard Greens (1 cup cooked),Collard Greens,Vegetable,60,5,1,10,1,cup,local_csv,false
Ham (3oz deli sliced),Ham,Protein,110,16,4,2,85.05,g,local_csv,false
Swiss Cheese (1 slice),Swiss Cheese,Dairy,106,7.6,8,1,1,piece,local_csv,false
Rye Bread (1 slice),Rye Bread,Carbs,83,2.7,1.1,15.5,1,piece,local_csv,false
Potato Leek Soup (1 cup),Potato Leek Soup,Vegetable,180,4,7,25,1,cup,local_csv,false
Brie Cheese (1 oz),Brie Cheese,Dairy,95,6,7.9,0.1,28.35,g,local_csv,false
Water Cracker (5 crackers),Water Cracker,Carbs,70,1.5,1.5,12,5,piece,local_csv,false
Grapefruit (1/2 medium),Grapefruit,Fruit,52,1.1,0.2,13.2,1,piece,local_csv,false
Veggie Straws (1 oz),Veggie Straws,Snack,130,1,7,17,28.35,g,local_csv,false
Fish Tacos (2 tacos),Fish Tacos,Seafood,420,25,18,40,2,piece,local_csv,false
Cabbage Slaw (side),Cabbage Slaw,Vegetable,60,1,3,8,1,piece,local_csv,false
Lime (juice of 1),Lime,Other,11,0.2,0,3.7,1,piece,local_csv,false
Beer (12 oz light),Beer,Drink,103,0.9,0,5.8,340.19,g,local_csv,false
Danish (Cheese 1 medium),Danish,Dessert,340,7,18,38,1,piece,local_csv,false
Kefir (Plain 1 cup),Kefir,Drink,104,10,2.5,10,1,cup,local_csv,false
Gnocchi (1 cup),Gnocchi,Carbs,210,4.5,1.5,45,1,cup,local_csv,false
Pesto Sauce (1/4 cup),Pesto Sauce,Other,260,5,26,4,1,piece,local_csv,false
Pine Nuts (1 tbsp),Pine Nuts,Snack,95,2,10,2,15,ml,local_csv,false
Chai Latte (12 oz),Chai Latte,Drink,190,7,4,32,340.19,g,local_csv,false
Manicotti (2 shells cheese),Manicotti,Carbs,380,20,18,35,2,piece,local_csv,false
Italian Sausage (1 link),Italian Sausage,Protein,200,12,16,3,1,piece,local_csv,false
Jicama (1 cup sticks),Jicama,Vegetable,46,0.9,0.1,10.6,1,cup,local_csv,false
Chili Powder (1 tsp),Chili Powder,Other,8,0.3,0.4,1.4,5,ml,local_csv,false
Ants on a Log (4 pcs),Ants on a Log,Snack,180,6,12,12,4,piece,local_csv,false
Split Pea Soup (1 cup),Split Pea Soup,Carbs,180,11,2,30,1,cup,local_csv,false
Ham & Cheese Croissant,Ham & Cheese Croissant,FastFood,400,15,22,35,100,g,local_csv,false
Espresso (double shot),Espresso,Drink,5,0.5,0.1,0,1,piece,local_csv,false
Ricotta Cheese (1/4 cup),Ricotta Cheese,Dairy,85,5.5,6,2.5,1,piece,local_csv,false
Chicken & Rice Soup (1 can),Chicken & Rice Soup,FastFood,130,7,3,18,1,piece,local_csv,false
Guava,Guava,Fruit,68,2.6,0.9,14.3,100,g,local_csv,false
Club Sandwich,Club Sandwich,FastFood,580,35,30,40,100,g,local_csv,false
Pickle (1 whole dill),Pickle,Vegetable,17,0.8,0.2,3.7,1,piece,local_csv,false
Turkey Chili (1 cup),Turkey Chili,FastFood,250,22,7,25,1,cup,local_csv,false
Sour Cream (2 tbsp),Sour Cream,Dairy,60,0.8,5.8,1.3,30,ml,local_csv,false
Shredded Cheese (Cheddar 1/4 cup),Shredded Cheese,Dairy,115,7,9.5,1,1,piece,local_csv,false
Matcha Latte (12 oz),Matcha Latte,Drink,180,6,5,28,340.19,g,local_csv,false
Chocolate Donut (1 medium),Chocolate Donut,Dessert,300,4,17,35,1,piece,local_csv,false
Tuna Melt,Tuna Melt,FastFood,450,25,25,32,100,g,local_csv,false
Apple Cider (1 cup),Apple Cider,Drink,117,0.1,0.3,29,1,cup,local_csv,false
Beef Burrito (large),Beef Burrito,FastFood,650,30,28,70,1,piece,local_csv,false
Pico de Gallo (1/4 cup),Pico de Gallo,Other,15,0.5,0,3,1,piece,local_csv,false
Corn Tortilla (1 medium),Corn Tortilla,Carbs,52,1.4,0.7,11.2,1,piece,local_csv,false
Mussels (3oz steamed),Mussels,Seafood,146,20,4,6,85.05,g,local_csv,false
White Wine Sauce (1/4 cup),White Wine Sauce,Other,80,1,6,4,1,piece,local_csv,false
French Bread (2 slices),French Bread,Carbs,180,6,1,36,2,piece,local_csv,false
Blackberries (1 cup),Blackberries,Fruit,62,2,0.7,13.8,1,cup,local_csv,false
Cheese Danish,Cheese Danish,Dessert,340,7,18,38,100,g,local_csv,false
Chicken Salad Sandwich,Chicken Salad Sandwich,FastFood,420,20,20,35,100,g,local_csv,false
Soyrizo (2 oz),Soyrizo,Protein,140,10,9,6,56.7,g,local_csv,false
Hash Browns (1 cup),Hash Browns,Vegetable,330,3,19,38,1,cup,local_csv,false
Ketchup (1 packet),Ketchup,Other,10,0.1,0,2.5,1,piece,local_csv,false
Philly Cheesesteak (6 inch),Philly Cheesesteak,FastFood,500,25,28,40,6,piece,local_csv,false
Cheese Whiz (2 tbsp),Cheese Whiz,Other,90,4,7,3,30,ml,local_csv,false
Onions (sautéed 1/4 cup),Onions,Vegetable,30,0.5,1,5,1,piece,local_csv,false
Raspberries (1 cup),Raspberries,Fruit,64,1.5,0.8,14.7,1,cup,local_csv,false
Cheesy Grits (1 cup),Cheesy Grits,Carbs,210,6,6,34,1,cup,local_csv,false
Collard Greens (with ham hock),Collard Greens,Vegetable,180,10,9,15,1,piece,local_csv,false
Fried Okra (1 cup),Fried Okra,Vegetable,220,4,12,25,1,cup,local_csv,false
Sweet Tea (16 oz),Sweet Tea,Drink,180,0,0,46,453.59,g,local_csv,false
Gyro (1 sandwich),Gyro,FastFood,600,25,30,55,1,piece,local_csv,false
Pita Bread (White 1 large),Pita Bread,Carbs,220,7,2,45,1,piece,local_csv,false
Baklava (1 piece),Baklava,Dessert,280,3,18,30,1,piece,local_csv,false
Coconut (shredded 1/4 cup),Coconut,Fruit,110,1,10.5,4.5,1,piece,local_csv,false
S'more (1 serving),S'more,Dessert,140,2,4,25,1,piece,local_csv,false
Graham Cracker (1 large rectangle),Graham Cracker,Carbs,60,1,1.5,11,1,piece,local_csv,false
Marshmallow (1 large),Marshmallow,Dessert,23,0.1,0,5.8,1,piece,local_csv,false
Chocolate (Hershey's bar 1 segment),Chocolate,Dessert,25,0.3,1.5,3,1,piece,local_csv,false
Chicken Parm Sandwich,Chicken Parm Sandwich,FastFood,650,40,30,55,100,g,local_csv,false
Mozzarella (1 slice),Mozzarella,Dairy,80,6,6,1,1,piece,local_csv,false
Bread Roll (hoagie),Bread Roll,Carbs,200,6,2,38,1,piece,local_csv,false
Artichoke (1 medium steamed),Artichoke,Vegetable,60,4.2,0.2,13.4,1,piece,local_csv,false
Mayonnaise (1 tbsp for dipping),Mayonnaise,Other,90,0.1,10,0.1,15,ml,local_csv,false
Calamari (fried 3oz),Calamari,Seafood,150,13,7,8,85.05,g,local_csv,false
